Model,MAE,RMSE,R2
StackingEnsemble_Recommended_Fats,13.766436846911239,17.900671339614803,0.7850183881207169
gb_Recommended_Fats,13.79982873577595,17.917549389573058,0.7846127965192708
cat_Recommended_Fats,13.923035720918447,18.15438440350521,0.7788811683090672
rf_Recommended_Fats,14.13019,18.455000409103217,0.7714975845154581
xgb_Recommended_Fats,14.913537979125977,19.47388920682881,0.7455701231956482
StackingEnsemble_All,24.579371098416487,34.890434027595646,0.7037484173206351
gb_Recommended_Carbs,39.23080522680283,51.19590258487232,0.6842028179662911
StackingEnsemble_Recommended_Carbs,39.24816225305979,51.22846591884006,0.6838009623886167
cat_Recommended_Carbs,39.79745917972011,52.00435829480346,0.674150299718353
rf_Recommended_Carbs,40.18692,52.787055134758184,0.6642680204910858
gb_Recommended_Protein,20.795065628756266,26.5877747297414,0.6425915538664274
StackingEnsemble_Recommended_Protein,20.723514195278437,26.593935494682732,0.6424259014525717
cat_Recommended_Protein,21.081649832593037,27.222500193980615,0.6253231593024225
xgb_Recommended_Carbs,42.80723571777344,55.94178798159856,0.622939944267273
rf_Recommended_Protein,21.37306,27.558543452076705,0.6160158034457982
xgb_Recommended_Protein,22.45977783203125,28.897303302965724,0.5778026580810547
